,常州天和印染有限公司1P 3#楼、4#楼西20190305_20190514.xlsx,常州天和印染有限公司2P 3#楼主20190305_20190514.xlsx,常州天和印染有限公司2P 水洗车间20190305_20190514.xlsx,常州天和印染有限公司3D 打底1#20190315_20190514.xlsx,常州天和印染有限公司3D 污水20190305_20190514.xlsx,常州天和印染有限公司3D 溢流、气雾20190305_20190514.xlsx,常州天和印染有限公司3P 4#楼20190305_20190514.xlsx,常州天和印染有限公司3P 一楼、二楼20190305_20190514.xlsx,常州天和印染有限公司4D油锅炉20190305_20190514.xlsx,常州天和印染有限公司4D老定型20190305_20190514.xlsx,常州天和印染有限公司4D老汽雾20190305_20190514.xlsx,常州天和印染有限公司4D预宿成品20190305_20190514.xlsx,常州天和印染有限公司5D低压总出20190305_20190514.xlsx,常州天和印染有限公司6D 洗水车20190305_20190514.xlsx,常州天和印染有限公司6D园网20190305_20190514.xlsx,常州天和印染有限公司6D退煮20190305_20190514.xlsx,常州天和印染有限公司7D 烧毛车间20190305_20190514.xlsx,常州天和印染有限公司7D 空压机20190305_20190514.xlsx,常州天和印染有限公司7D 车间照明20190305_20190514.xlsx,常州天和印染有限公司7D泵房20190305_20190514.xlsx,常州天和印染有限公司8D 丝光20190305_20190514.xlsx,常州天和印染有限公司8D 门富士、磨毛20190305_20190514.xlsx
2019-03-15 00:02:00,44.639999,0.8,0.0,0.24,7.44,16.08,0.0,2.72,0.0,0.72,0.0,11.46,79.200005,0.16,0.16,0.76,0.0,0.0,0.08,0.16,0.36,0.96
2019-03-15 00:05:00,50.239998,1.12,0.0,0.24,7.44,12.599999,0.0,2.24,0.0,0.72,0.0,12.3,85.200005,0.16,0.16,0.76,0.0,0.0,0.08,0.16,0.36,0.96
2019-03-15 00:08:00,47.360001,0.96,0.0,0.24,7.56,12.599999,0.0,2.24,0.0,0.72,0.0,6.42,86.800003,0.16,0.16,0.76,0.0,0.0,0.08,0.16,0.36,0.96
2019-03-15 00:11:00,48.639999,1.12,0.0,0.24,7.5,12.719999,0.0,2.24,0.0,0.72,0.0,6.42,86.800003,0.16,0.16,0.76,0.0,0.0,0.08,0.16,0.42,0.96
2019-03-15 00:14:00,45.919998,1.12,0.0,0.24,7.38,21.0,0.0,2.24,0.0,0.72,0.0,6.42,89.599998,0.16,0.16,0.76,0.0,0.0,0.08,0.16,0.36,0.96
2019-03-15 00:17:00,50.399998,1.12,0.0,0.24,7.62,13.08,0.0,2.24,0.0,0.72,0.0,11.82,87.599998,0.16,0.16,2.0,0.0,0.0,0.08,0.16,0.36,0.96
2019-03-15 00:20:00,50.879997,0.96,0.0,0.24,7.44,13.2,0.0,2.56,0.0,0.72,0.0,11.82,83.599998,0.16,0.16,2.44,0.0,0.0,0.08,0.16,0.36,0.8
2019-03-15 00:23:00,46.399998,0.96,0.0,0.24,7.5,14.28,0.0,2.56,0.0,0.72,0.0,6.42,83.599998,0.16,0.16,2.44,0.0,0.0,0.08,0.16,0.36,0.96
2019-03-15 00:26:00,60.959999,1.12,0.0,0.24,7.56,12.599999,0.0,2.56,0.0,0.72,0.0,13.86,83.599998,0.16,0.16,0.76,0.0,0.0,0.08,0.16,0.36,0.96
2019-03-15 00:29:00,45.279999,1.12,0.0,0.24,7.56,18.84,0.0,2.4,0.0,0.72,0.0,13.86,92.800003,0.16,0.16,0.76,0.0,0.0,0.08,0.16,0.36,0.96
